external_id,title,description,instructor,price,duration_hours,language,difficulty_level,num_students,published_at,platform,category
C00011,Machine Learning: Ai (2023-01),"Curso de Machine Learning enfocado en deep, ai, models. Nivel principiante.",M. García,89.99,30,en,intermedio,1539,2023-01-25,Udemy,Machine Learning
C00012,Web Development: Javascript (2023-01),"Curso de Web Development enfocado en frontend, web, javascript. Nivel intermedio.",N. Müller,0,30,es,intermedio,9114,2023-01-28,Coursera,Web Development
C00013,Web Development: Web (2023-01),"Curso de Web Development enfocado en html, react, frontend. Nivel intermedio.",J. Smith,89.99,12,es,intermedio,2641,2023-01-15,Coursera,Web Development
C00014,Web Development: React (2023-01),"Curso de Web Development enfocado en html, javascript, react. Nivel principiante.",R. Kumar,89.99,40,es,avanzado,10027,2023-01-07,Coursera,Web Development
C00015,Web Development: Javascript (2023-01),"Curso de Web Development enfocado en html, web, react. Nivel intermedio.",N. Müller,19.99,4,en,principiante,5997,2023-01-27,edX,Web Development
C00016,Web Development: Web (2023-01),"Curso de Web Development enfocado en javascript, web, frontend. Nivel avanzado.",N. Müller,0,4,en,avanzado,12597,2023-01-05,Udemy,Web Development
C00017,Web Development: Frontend (2023-01),"Curso de Web Development enfocado en html, javascript, frontend. Nivel avanzado.",C. Rossi,89.99,8,en,avanzado,12424,2023-01-24,edX,Web Development
C00018,Web Development: React (2023-01),"Curso de Web Development enfocado en frontend, react, javascript. Nivel avanzado.",N. Müller,89.99,4,en,principiante,3731,2023-01-03,edX,Web Development
C00019,Cybersecurity: Network (2023-01),"Curso de Cybersecurity enfocado en risk, network, security. Nivel principiante.",A. Pérez,49.99,8,pt,principiante,14884,2023-01-02,FutureLearn,Cybersecurity
C00020,Cybersecurity: Risk (2023-01),"Curso de Cybersecurity enfocado en network, hacking, encryption. Nivel intermedio.",L. Chen,0,30,en,principiante,11901,2023-01-19,Udemy,Cybersecurity
C00021,Cybersecurity: Network (2023-01),"Curso de Cybersecurity enfocado en encryption, risk, security. Nivel principiante.",J. Smith,29.99,40,pt,intermedio,5854,2023-01-14,FutureLearn,Cybersecurity
C00022,Cloud Computing: Cloud (2023-01),"Curso de Cloud Computing enfocado en cloud, devops, azure. Nivel intermedio.",J. Smith,89.99,8,es,principiante,3166,2023-01-18,Coursera,Cloud Computing
C00023,Cloud Computing: Devops (2023-01),"Curso de Cloud Computing enfocado en aws, azure, containers. Nivel principiante.",J. Smith,0,20,en,avanzado,1654,2023-01-02,MITx,Cloud Computing
C00024,Cloud Computing: Cloud (2023-01),"Curso de Cloud Computing enfocado en aws, containers, devops. Nivel intermedio.",N. Müller,0,8,pt,intermedio,14835,2023-01-02,FutureLearn,Cloud Computing
C00025,Business & Marketing: Management (2023-01),"Curso de Business & Marketing enfocado en strategy, management, marketing. Nivel avanzado.",N. Müller,29.99,8,es,principiante,4911,2023-01-07,Coursera,Business & Marketing
C00026,Business & Marketing: Sales (2023-01),"Curso de Business & Marketing enfocado en business, management, sales. Nivel principiante.",N. Müller,49.99,30,es,avanzado,2629,2023-01-02,Coursera,Business & Marketing
C00027,Business & Marketing: Marketing (2023-01),"Curso de Business & Marketing enfocado en business, sales, management. Nivel principiante.",C. Rossi,0,4,pt,avanzado,4083,2023-01-19,FutureLearn,Business & Marketing
C00028,Business & Marketing: Sales (2023-01),"Curso de Business & Marketing enfocado en business, strategy, management. Nivel avanzado.",S. Johnson,0,12,pt,principiante,11022,2023-01-23,FutureLearn,Business & Marketing
C00029,Business & Marketing: Management (2023-01),"Curso de Business & Marketing enfocado en strategy, marketing, management. Nivel avanzado.",R. Kumar,0,20,en,intermedio,12368,2023-01-03,Udemy,Business & Marketing
C00030,Business & Marketing: Sales (2023-01),"Curso de Business & Marketing enfocado en sales, business, strategy. Nivel avanzado.",L. Chen,29.99,30,es,intermedio,2220,2023-01-12,Coursera,Business & Marketing
C00031,Design & UX: Ui (2023-01),"Curso de Design & UX enfocado en ux, figma, ui. Nivel avanzado.",R. Kumar,19.99,30,en,avanzado,8716,2023-01-01,edX,Design & UX
C00032,Design & UX: Design (2023-01),"Curso de Design & UX enfocado en ux, ui, design. Nivel principiante.",M. García,19.99,12,pt,intermedio,9959,2023-01-07,FutureLearn,Design & UX
C00033,Design & UX: Ui (2023-01),"Curso de Design & UX enfocado en prototyping, figma, ux. Nivel principiante.",J. Smith,0,40,en,intermedio,13638,2023-01-09,Udemy,Design & UX
C00034,Design & UX: Ui (2023-01),"Curso de Design & UX enfocado en ux, ui, design. Nivel avanzado.",N. Müller,0,30,es,avanzado,7057,2023-01-18,Coursera,Design & UX
C00035,Design & UX: Design (2023-01),"Curso de Design & UX enfocado en ux, design, prototyping. Nivel avanzado.",M. García,0,20,es,principiante,735,2023-01-10,Coursera,Design & UX
C00036,Artificial Intelligence: Generative (2023-01),"Curso de Artificial Intelligence enfocado en generative, ai, prompt. Nivel avanzado.",C. Rossi,19.99,30,es,avanzado,2582,2023-01-08,Coursera,Artificial Intelligence
C00037,Artificial Intelligence: Chatgpt (2023-01),"Curso de Artificial Intelligence enfocado en ai, generative, llm. Nivel intermedio.",C. Rossi,0,40,en,avanzado,13333,2023-01-08,edX,Artificial Intelligence
C00038,Data Science: Python (2023-02),"Curso de Data Science enfocado en statistics, data, python. Nivel intermedio.",S. Johnson,29.99,12,es,principiante,3702,2023-02-01,Coursera,Data Science
C00039,Data Science: Analysis (2023-02),"Curso de Data Science enfocado en analysis, python, data. Nivel intermedio.",C. Rossi,29.99,40,en,avanzado,5475,2023-02-01,edX,Data Science
C00040,Data Science: Data (2023-02),"Curso de Data Science enfocado en pandas, analysis, python. Nivel principiante.",C. Rossi,19.99,12,es,avanzado,12934,2023-02-11,Coursera,Data Science
C00041,Data Science: Pandas (2023-02),"Curso de Data Science enfocado en python, statistics, analysis. Nivel principiante.",R. Kumar,49.99,4,en,avanzado,7194,2023-02-01,MITx,Data Science
C00042,Data Science: Data (2023-02),"Curso de Data Science enfocado en analysis, statistics, python. Nivel avanzado.",S. Johnson,49.99,30,pt,intermedio,10918,2023-02-28,FutureLearn,Data Science
C00043,Data Science: Analysis (2023-02),"Curso de Data Science enfocado en pandas, analysis, statistics. Nivel intermedio.",S. Johnson,89.99,20,es,avanzado,4894,2023-02-18,Coursera,Data Science
C00044,Machine Learning: Deep (2023-02),"Curso de Machine Learning enfocado en models, neural, ai. Nivel avanzado.",A. Pérez,89.99,12,en,intermedio,3493,2023-02-14,MITx,Machine Learning
C00045,Machine Learning: Neural (2023-02),"Curso de Machine Learning enfocado en deep, ai, models. Nivel avanzado.",L. Chen,49.99,30,pt,intermedio,13054,2023-02-26,FutureLearn,Machine Learning
C00046,Machine Learning: Machine Learning (2023-02),"Curso de Machine Learning enfocado en neural, ai, machine learning. Nivel principiante.",R. Kumar,89.99,8,en,principiante,2464,2023-02-01,edX,Machine Learning
C00047,Machine Learning: Deep (2023-02),"Curso de Machine Learning enfocado en ai, machine learning, models. Nivel intermedio.",L. Chen,0,40,es,avanzado,6341,2023-02-16,Coursera,Machine Learning
C00048,Machine Learning: Models (2023-02),"Curso de Machine Learning enfocado en machine learning, ai, models. Nivel principiante.",M. García,0,40,en,avanzado,7661,2023-02-02,MITx,Machine Learning
C00049,Web Development: Javascript (2023-02),"Curso de Web Development enfocado en frontend, react, javascript. Nivel avanzado.",C. Rossi,29.99,30,es,intermedio,14749,2023-02-06,Coursera,Web Development
C00050,Web Development: React (2023-02),"Curso de Web Development enfocado en javascript, react, frontend. Nivel intermedio.",L. Chen,29.99,12,en,intermedio,1319,2023-02-23,MITx,Web Development
C00051,Web Development: React (2023-02),"Curso de Web Development enfocado en react, html, frontend. Nivel principiante.",M. García,0,8,en,principiante,6325,2023-02-23,Udemy,Web Development
C00052,Web Development: Javascript (2023-02),"Curso de Web Development enfocado en web, frontend, javascript. Nivel intermedio.",N. Müller,89.99,20,en,principiante,3438,2023-02-27,edX,Web Development
C00053,Web Development: Html (2023-02),"Curso de Web Development enfocado en web, frontend, javascript. Nivel principiante.",S. Johnson,29.99,12,en,intermedio,14032,2023-02-27,MITx,Web Development
C00054,Web Development: Html (2023-02),"Curso de Web Development enfocado en html, javascript, frontend. Nivel principiante.",R. Kumar,49.99,20,en,intermedio,525,2023-02-13,MITx,Web Development
C00055,Web Development: Frontend (2023-02),"Curso de Web Development enfocado en javascript, frontend, web. Nivel avanzado.",A. Pérez,89.99,20,en,avanzado,9296,2023-02-22,Udemy,Web Development
C00056,Web Development: Frontend (2023-02),"Curso de Web Development enfocado en javascript, frontend, web. Nivel principiante.",R. Kumar,0,20,es,intermedio,3517,2023-02-15,Coursera,Web Development
C00057,Cybersecurity: Encryption (2023-02),"Curso de Cybersecurity enfocado en hacking, security, network. Nivel principiante.",A. Pérez,19.99,12,en,principiante,10701,2023-02-03,MITx,Cybersecurity
C00058,Cybersecurity: Network (2023-02),"Curso de Cybersecurity enfocado en network, security, hacking. Nivel principiante.",L. Chen,0,8,es,intermedio,11018,2023-02-04,Coursera,Cybersecurity
C00059,Cybersecurity: Encryption (2023-02),"Curso de Cybersecurity enfocado en hacking, risk, security. Nivel avanzado.",J. Smith,0,8,pt,intermedio,1821,2023-02-19,FutureLearn,Cybersecurity
C00060,Cloud Computing: Devops (2023-02),"Curso de Cloud Computing enfocado en devops, aws, cloud. Nivel avanzado.",L. Chen,49.99,4,en,avanzado,12706,2023-02-10,Udemy,Cloud Computing
C00061,Cloud Computing: Containers (2023-02),"Curso de Cloud Computing enfocado en cloud, azure, devops. Nivel intermedio.",S. Johnson,0,4,pt,avanzado,10659,2023-02-11,FutureLearn,Cloud Computing
C00062,Cloud Computing: Devops (2023-02),"Curso de Cloud Computing enfocado en cloud, devops, aws. Nivel avanzado.",N. Müller,29.99,40,es,principiante,7185,2023-02-06,Coursera,Cloud Computing
C00063,Business & Marketing: Sales (2023-02),"Curso de Business & Marketing enfocado en strategy, sales, marketing. Nivel avanzado.",R. Kumar,49.99,12,en,principiante,13660,2023-02-03,Udemy,Business & Marketing
C00064,Business & Marketing: Marketing (2023-02),"Curso de Business & Marketing enfocado en strategy, sales, marketing. Nivel principiante.",N. Müller,29.99,12,en,principiante,8038,2023-02-07,Udemy,Business & Marketing
C00065,Business & Marketing: Management (2023-02),"Curso de Business & Marketing enfocado en management, sales, strategy. Nivel principiante.",L. Chen,19.99,4,en,principiante,11847,2023-02-14,Udemy,Business & Marketing
C00066,Business & Marketing: Marketing (2023-02),"Curso de Business & Marketing enfocado en strategy, sales, marketing. Nivel principiante.",J. Smith,49.99,12,en,principiante,6675,2023-02-23,MITx,Business & Marketing
C00067,Business & Marketing: Sales (2023-02),"Curso de Business & Marketing enfocado en management, strategy, sales. Nivel avanzado.",S. Johnson,19.99,20,en,avanzado,9067,2023-02-11,edX,Business & Marketing
C00068,Business & Marketing: Strategy (2023-02),"Curso de Business & Marketing enfocado en management, sales, marketing. Nivel principiante.",J. Smith,89.99,40,en,principiante,5219,2023-02-04,Udemy,Business & Marketing
C00069,Business & Marketing: Marketing (2023-02),"Curso de Business & Marketing enfocado en marketing, sales, management. Nivel intermedio.",R. Kumar,89.99,40,pt,avanzado,12505,2023-02-17,FutureLearn,Business & Marketing
C00070,Business & Marketing: Business (2023-02),"Curso de Business & Marketing enfocado en marketing, management, business. Nivel intermedio.",M. García,19.99,12,pt,principiante,11650,2023-02-18,FutureLearn,Business & Marketing
C00071,Design & UX: Prototyping (2023-02),"Curso de Design & UX enfocado en ui, ux, prototyping. Nivel intermedio.",J. Smith,0,4,es,avanzado,4708,2023-02-16,Coursera,Design & UX
C00072,Design & UX: Ui (2023-02),"Curso de Design & UX enfocado en ux, design, prototyping. Nivel intermedio.",J. Smith,29.99,4,en,intermedio,8106,2023-02-03,MITx,Design & UX
C00073,Design & UX: Design (2023-02),"Curso de Design & UX enfocado en ux, prototyping, ui. Nivel intermedio.",J. Smith,89.99,8,pt,principiante,9193,2023-02-25,FutureLearn,Design & UX
C00074,Artificial Intelligence: Generative (2023-02),"Curso de Artificial Intelligence enfocado en prompt, chatgpt, generative. Nivel intermedio.",R. Kumar,49.99,30,pt,intermedio,5053,2023-02-19,FutureLearn,Artificial Intelligence
C00075,Artificial Intelligence: Prompt (2023-02),"Curso de Artificial Intelligence enfocado en ai, generative, llm. Nivel principiante.",R. Kumar,0,40,pt,principiante,2623,2023-02-08,FutureLearn,Artificial Intelligence
C00076,Data Science: Python (2023-03),"Curso de Data Science enfocado en statistics, pandas, analysis. Nivel avanzado.",N. Müller,0,12,es,principiante,3842,2023-03-10,Coursera,Data Science
C00077,Data Science: Statistics (2023-03),"Curso de Data Science enfocado en python, data, statistics. Nivel avanzado.",L. Chen,89.99,20,en,principiante,8972,2023-03-08,Udemy,Data Science
C00078,Data Science: Data (2023-03),"Curso de Data Science enfocado en python, pandas, statistics. Nivel intermedio.",R. Kumar,19.99,20,en,principiante,7729,2023-03-23,edX,Data Science
C00079,Data Science: Statistics (2023-03),"Curso de Data Science enfocado en analysis, statistics, data. Nivel principiante.",A. Pérez,89.99,20,en,avanzado,5330,2023-03-20,Udemy,Data Science
C00080,Data Science: Python (2023-03),"Curso de Data Science enfocado en data, python, analysis. Nivel intermedio.",A. Pérez,0,8,en,intermedio,8552,2023-03-21,Udemy,Data Science
C00081,Data Science: Data (2023-03),"Curso de Data Science enfocado en pandas, statistics, analysis. Nivel intermedio.",J. Smith,19.99,20,en,intermedio,6740,2023-03-11,MITx,Data Science
C00082,Machine Learning: Neural (2023-03),"Curso de Machine Learning enfocado en deep, ai, models. Nivel avanzado.",C. Rossi,0,30,es,principiante,7501,2023-03-03,Coursera,Machine Learning
C00083,Machine Learning: Neural (2023-03),"Curso de Machine Learning enfocado en machine learning, deep, neural. Nivel principiante.",N. Müller,19.99,20,en,principiante,3123,2023-03-17,Udemy,Machine Learning
C00084,Machine Learning: Deep (2023-03),"Curso de Machine Learning enfocado en deep, machine learning, ai. Nivel intermedio.",M. García,49.99,12,en,intermedio,14481,2023-03-23,Udemy,Machine Learning
C00085,Machine Learning: Machine Learning (2023-03),"Curso de Machine Learning enfocado en ai, models, neural. Nivel principiante.",R. Kumar,0,30,en,principiante,9098,2023-03-14,MITx,Machine Learning
C00086,Machine Learning: Machine Learning (2023-03),"Curso de Machine Learning enfocado en deep, machine learning, neural. Nivel principiante.",N. Müller,0,40,es,intermedio,8387,2023-03-23,Coursera,Machine Learning
C00087,Web Development: Javascript (2023-03),"Curso de Web Development enfocado en frontend, javascript, html. Nivel principiante.",M. García,29.99,4,en,intermedio,12709,2023-03-26,MITx,Web Development
C00088,Web Development: Html (2023-03),"Curso de Web Development enfocado en react, web, javascript. Nivel avanzado.",R. Kumar,19.99,30,en,avanzado,10862,2023-03-16,MITx,Web Development
C00089,Web Development: Html (2023-03),"Curso de Web Development enfocado en frontend, react, javascript. Nivel avanzado.",C. Rossi,29.99,20,en,intermedio,14297,2023-03-07,edX,Web Development
C00090,Web Development: Frontend (2023-03),"Curso de Web Development enfocado en javascript, frontend, web. Nivel intermedio.",N. Müller,49.99,40,en,intermedio,6375,2023-03-22,edX,Web Development
C00091,Web Development: Web (2023-03),"Curso de Web Development enfocado en javascript, react, web. Nivel intermedio.",J. Smith,29.99,30,en,intermedio,301,2023-03-24,edX,Web Development
C00092,Web Development: Javascript (2023-03),"Curso de Web Development enfocado en web, frontend, javascript. Nivel intermedio.",C. Rossi,29.99,40,en,principiante,14005,2023-03-11,edX,Web Development
C00093,Web Development: React (2023-03),"Curso de Web Development enfocado en frontend, web, react. Nivel principiante.",L. Chen,29.99,40,pt,avanzado,4758,2023-03-08,FutureLearn,Web Development
C00094,Web Development: Web (2023-03),"Curso de Web Development enfocado en web, frontend, html. Nivel avanzado.",R. Kumar,29.99,4,es,principiante,5364,2023-03-26,Coursera,Web Development
C00095,Cybersecurity: Encryption (2023-03),"Curso de Cybersecurity enfocado en network, risk, hacking. Nivel intermedio.",M. García,19.99,8,en,principiante,1343,2023-03-20,Udemy,Cybersecurity
C00096,Cybersecurity: Network (2023-03),"Curso de Cybersecurity enfocado en encryption, network, security. Nivel intermedio.",R. Kumar,49.99,20,en,intermedio,10975,2023-03-01,MITx,Cybersecurity
C00097,Cybersecurity: Risk (2023-03),"Curso de Cybersecurity enfocado en network, security, risk. Nivel intermedio.",R. Kumar,19.99,40,en,intermedio,11360,2023-03-09,MITx,Cybersecurity
C00098,Cloud Computing: Devops (2023-03),"Curso de Cloud Computing enfocado en devops, cloud, containers. Nivel intermedio.",S. Johnson,0,30,en,intermedio,11506,2023-03-10,Udemy,Cloud Computing
C00099,Cloud Computing: Devops (2023-03),"Curso de Cloud Computing enfocado en azure, cloud, containers. Nivel avanzado.",A. Pérez,89.99,30,es,avanzado,8188,2023-03-27,Coursera,Cloud Computing
C00100,Cloud Computing: Containers (2023-03),"Curso de Cloud Computing enfocado en azure, aws, containers. Nivel principiante.",R. Kumar,0,40,en,avanzado,12624,2023-03-22,Udemy,Cloud Computing
C00101,Business & Marketing: Business (2023-03),"Curso de Business & Marketing enfocado en business, management, marketing. Nivel principiante.",S. Johnson,89.99,40,en,principiante,1526,2023-03-10,edX,Business & Marketing
C00102,Business & Marketing: Strategy (2023-03),"Curso de Business & Marketing enfocado en marketing, sales, business. Nivel avanzado.",S. Johnson,89.99,30,en,avanzado,4515,2023-03-27,Udemy,Business & Marketing
C00103,Business & Marketing: Strategy (2023-03),"Curso de Business & Marketing enfocado en management, sales, business. Nivel intermedio.",J. Smith,19.99,8,en,principiante,14142,2023-03-22,edX,Business & Marketing
C00104,Business & Marketing: Management (2023-03),"Curso de Business & Marketing enfocado en business, strategy, sales. Nivel intermedio.",J. Smith,49.99,20,en,intermedio,11073,2023-03-24,MITx,Business & Marketing
C00105,Business & Marketing: Strategy (2023-03),"Curso de Business & Marketing enfocado en management, business, sales. Nivel principiante.",N. Müller,49.99,4,en,avanzado,14537,2023-03-18,Udemy,Business & Marketing
C00106,Business & Marketing: Marketing (2023-03),"Curso de Business & Marketing enfocado en business, strategy, management. Nivel intermedio.",C. Rossi,49.99,4,en,principiante,792,2023-03-02,Udemy,Business & Marketing
C00107,Business & Marketing: Business (2023-03),"Curso de Business & Marketing enfocado en business, marketing, management. Nivel principiante.",C. Rossi,29.99,20,en,intermedio,11035,2023-03-24,Udemy,Business & Marketing
C00108,Business & Marketing: Sales (2023-03),"Curso de Business & Marketing enfocado en marketing, strategy, management. Nivel principiante.",N. Müller,29.99,30,pt,intermedio,4633,2023-03-02,FutureLearn,Business & Marketing
C00109,Design & UX: Figma (2023-03),"Curso de Design & UX enfocado en ux, ui, design. Nivel avanzado.",S. Johnson,29.99,30,en,avanzado,5926,2023-03-02,edX,Design & UX
C00110,Design & UX: Ux (2023-03),"Curso de Design & UX enfocado en design, figma, prototyping. Nivel avanzado.",L. Chen,19.99,40,en,avanzado,9833,2023-03-01,MITx,Design & UX
C00111,Design & UX: Ux (2023-03),"Curso de Design & UX enfocado en ux, prototyping, design. Nivel avanzado.",L. Chen,19.99,30,es,principiante,13371,2023-03-28,Coursera,Design & UX
C00112,Design & UX: Ux (2023-03),"Curso de Design & UX enfocado en prototyping, design, ux. Nivel principiante.",M. García,19.99,30,en,intermedio,13132,2023-03-06,edX,Design & UX
C00113,Artificial Intelligence: Ai (2023-03),"Curso de Artificial Intelligence enfocado en llm, generative, prompt. Nivel intermedio.",A. Pérez,0,8,es,intermedio,908,2023-03-05,Coursera,Artificial Intelligence
C00114,Artificial Intelligence: Ai (2023-03),"Curso de Artificial Intelligence enfocado en ai, chatgpt, generative. Nivel intermedio.",J. Smith,49.99,20,en,avanzado,3679,2023-03-20,MITx,Artificial Intelligence
C00115,Data Science: Statistics (2023-04),"Curso de Data Science enfocado en python, pandas, data. Nivel intermedio.",C. Rossi,19.99,40,pt,principiante,8082,2023-04-23,FutureLearn,Data Science
C00116,Data Science: Python (2023-04),"Curso de Data Science enfocado en analysis, data, python. Nivel principiante.",R. Kumar,0,30,en,avanzado,9640,2023-04-18,MITx,Data Science
C00117,Data Science: Pandas (2023-04),"Curso de Data Science enfocado en pandas, analysis, data. Nivel avanzado.",C. Rossi,29.99,4,en,avanzado,1924,2023-04-28,Udemy,Data Science
C00118,Data Science: Data (2023-04),"Curso de Data Science enfocado en statistics, pandas, python. Nivel intermedio.",S. Johnson,89.99,20,pt,intermedio,6865,2023-04-24,FutureLearn,Data Science
C00119,Data Science: Statistics (2023-04),"Curso de Data Science enfocado en analysis, pandas, data. Nivel principiante.",N. Müller,19.99,4,es,principiante,13677,2023-04-03,Coursera,Data Science
C00120,Data Science: Python (2023-04),"Curso de Data Science enfocado en analysis, data, pandas. Nivel principiante.",S. Johnson,29.99,40,es,principiante,6780,2023-04-12,Coursera,Data Science
C00121,Machine Learning: Machine Learning (2023-04),"Curso de Machine Learning enfocado en neural, ai, models. Nivel principiante.",L. Chen,89.99,8,en,avanzado,7950,2023-04-08,MITx,Machine Learning
C00122,Machine Learning: Ai (2023-04),"Curso de Machine Learning enfocado en neural, machine learning, models. Nivel avanzado.",L. Chen,19.99,20,es,avanzado,12623,2023-04-27,Coursera,Machine Learning
C00123,Machine Learning: Ai (2023-04),"Curso de Machine Learning enfocado en machine learning, neural, ai. Nivel principiante.",R. Kumar,49.99,40,pt,intermedio,5617,2023-04-12,FutureLearn,Machine Learning
C00124,Machine Learning: Models (2023-04),"Curso de Machine Learning enfocado en ai, deep, machine learning. Nivel principiante.",A. Pérez,0,4,es,avanzado,8741,2023-04-07,Coursera,Machine Learning
C00125,Machine Learning: Deep (2023-04),"Curso de Machine Learning enfocado en neural, models, deep. Nivel intermedio.",S. Johnson,29.99,30,en,avanzado,1441,2023-04-02,MITx,Machine Learning
C00126,Machine Learning: Ai (2023-04),"Curso de Machine Learning enfocado en machine learning, ai, models. Nivel intermedio.",C. Rossi,0,20,en,avanzado,7292,2023-04-14,edX,Machine Learning
C00127,Machine Learning: Ai (2023-04),"Curso de Machine Learning enfocado en machine learning, neural, models. Nivel principiante.",R. Kumar,0,40,en,avanzado,9767,2023-04-16,Udemy,Machine Learning
C00128,Web Development: Javascript (2023-04),"Curso de Web Development enfocado en frontend, web, html. Nivel principiante.",R. Kumar,0,8,en,principiante,12570,2023-04-09,Udemy,Web Development
C00129,Web Development: Web (2023-04),"Curso de Web Development enfocado en web, frontend, react. Nivel intermedio.",M. García,19.99,8,en,intermedio,8775,2023-04-23,Udemy,Web Development
C00130,Web Development: Html (2023-04),"Curso de Web Development enfocado en react, web, javascript. Nivel avanzado.",A. Pérez,49.99,20,en,principiante,7582,2023-04-03,edX,Web Development
C00131,Web Development: Frontend (2023-04),"Curso de Web Development enfocado en html, frontend, react. Nivel avanzado.",C. Rossi,49.99,12,en,principiante,6686,2023-04-01,Udemy,Web Development
C00132,Web Development: Html (2023-04),"Curso de Web Development enfocado en frontend, react, web. Nivel intermedio.",J. Smith,0,8,en,intermedio,9698,2023-04-13,Udemy,Web Development
C00133,Web Development: Frontend (2023-04),"Curso de Web Development enfocado en react, html, web. Nivel intermedio.",M. García,0,4,pt,avanzado,10424,2023-04-04,FutureLearn,Web Development
C00134,Web Development: Javascript (2023-04),"Curso de Web Development enfocado en react, html, frontend. Nivel avanzado.",M. García,49.99,8,pt,principiante,2449,2023-04-09,FutureLearn,Web Development
C00135,Web Development: Html (2023-04),"Curso de Web Development enfocado en javascript, web, frontend. Nivel avanzado.",N. Müller,0,20,en,avanzado,12499,2023-04-19,edX,Web Development
C00136,Web Development: Html (2023-04),"Curso de Web Development enfocado en html, react, frontend. Nivel intermedio.",M. García,89.99,20,en,principiante,7732,2023-04-15,MITx,Web Development
C00137,Cybersecurity: Security (2023-04),"Curso de Cybersecurity enfocado en hacking, security, network. Nivel intermedio.",N. Müller,49.99,4,en,principiante,6091,2023-04-27,Udemy,Cybersecurity
C00138,Cybersecurity: Security (2023-04),"Curso de Cybersecurity enfocado en risk, encryption, network. Nivel avanzado.",A. Pérez,0,20,en,avanzado,10729,2023-04-07,Udemy,Cybersecurity
C00139,Cybersecurity: Encryption (2023-04),"Curso de Cybersecurity enfocado en risk, network, security. Nivel intermedio.",J. Smith,49.99,12,en,avanzado,1431,2023-04-17,Udemy,Cybersecurity
C00140,Cybersecurity: Network (2023-04),"Curso de Cybersecurity enfocado en encryption, risk, hacking. Nivel avanzado.",M. García,0,12,en,intermedio,4684,2023-04-13,edX,Cybersecurity
C00141,Cloud Computing: Containers (2023-04),"Curso de Cloud Computing enfocado en cloud, azure, containers. Nivel intermedio.",J. Smith,89.99,30,en,avanzado,6383,2023-04-10,Udemy,Cloud Computing
C00142,Cloud Computing: Containers (2023-04),"Curso de Cloud Computing enfocado en aws, azure, cloud. Nivel avanzado.",M. García,89.99,12,en,intermedio,10798,2023-04-23,Udemy,Cloud Computing
C00143,Cloud Computing: Containers (2023-04),"Curso de Cloud Computing enfocado en cloud, azure, devops. Nivel intermedio.",S. Johnson,0,8,en,avanzado,11565,2023-04-27,MITx,Cloud Computing
C00144,Business & Marketing: Strategy (2023-04),"Curso de Business & Marketing enfocado en sales, management, business. Nivel intermedio.",R. Kumar,0,8,pt,principiante,5648,2023-04-25,FutureLearn,Business & Marketing
C00145,Business & Marketing: Marketing (2023-04),"Curso de Business & Marketing enfocado en marketing, sales, business. Nivel intermedio.",J. Smith,0,30,en,avanzado,13732,2023-04-24,MITx,Business & Marketing
C00146,Business & Marketing: Management (2023-04),"Curso de Business & Marketing enfocado en sales, marketing, management. Nivel intermedio.",M. García,0,8,pt,principiante,13670,2023-04-23,FutureLearn,Business & Marketing
C00147,Business & Marketing: Strategy (2023-04),"Curso de Business & Marketing enfocado en business, strategy, marketing. Nivel avanzado.",L. Chen,0,20,pt,avanzado,4718,2023-04-25,FutureLearn,Business & Marketing
